Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
PC0039,All Pure Hand Sanitizer (60ml),30,28,2.8,0.1,,,,,,,,,,,,,,,,,,,,
PC0041,All Pure Hand Sanitizer (250ml),125,115,28.75,1.06,,,,,,,,,,,,,,,,,,,,
PC0042,All Pure Hand Sanitizer (500ml),250,225,56.25,2.08,,,,,,,,,,,,,,,,,,,,
PC0044,All Pure Moringa Hand Sanitizer (250ml),125,115,28.75,1.06,,,,,,,,,,,,,,,,,,,,
PC0045,All Pure Moringa Hand Sanitizer (500ml),250,225,56.25,2.08,,,,,,,,,,,,,,,,,,,,
PC0054,All Pure Aloe Vera Hand Sanitizer (250ml),125,115,28.75,1.06,,,,,,,,,,,,,,,,,,,,
PC0056,All Pure Aloe Vera Hand Sanitizer (500ml),250,225,56.25,2.08,,,,,,,,,,,,,,,,,,,,
PC0043,All Pure Moringa Hand Sanitizer (100ml),75,68,17.05,0.63,,,,,,,,,,,,,,,,,,,,
PC1006,FOTE Shampoo with Henna & Jojoba Oil (Hair Fall Control) (200ml),195,163,81.5,3.02,,,,,,,,,,,,,,,,,,,,
PC1005,FOTE Shampoo with Arnica & Tea Tree Oil (Dandruff Control) (200ml),195,163,81.5,3.02,,,,,,,,,,,,,,,,,,,,
PC1002,FOTE Conditioner with Aloe vera & Almond Oil (Smooth & Shine) (150ml),198,170,102,3.78,,,,,,,,,,,,,,,,,,,,
PC5258,FOTE Shampoo with Henna & Jojoba Oil (Hair Fall Control) (100ml),120,100,50,1.85,,,,,,,,,,,,,,,,,,,,
PC5257,FOTE Shampoo with Arnica & Tea Tree Oil (Dandruff Control) (100ml),120,100,50,1.85,,,,,,,,,,,,,,,,,,,,
PC5259,FOTE Conditioner with Aloe vera & Almond Oil (Smooth & Shine) (100ml),140,120,60,2.22,,,,,,,,,,,,,,,,,,,,
PC0050,FOTE Shampoo with Henna & Jojoba Oil (Hair Fall Control) - Sachet (6 ml x 48 N),192,168,67.2,2.49,,,,,,,,,,,,,,,,,,,,
PC0051,FOTE Shampoo with Arnica & Tea Tree Oil (Dandruff Control) - Sachet (6 ml x 48 N),192,168,67.2,2.49,,,,,,,,,,,,,,,,,,,,
PC1014,FOTE Red Obsession Hydrating Mist (100ml),599,520,312,11.56,,,,,,,,,,,,,,,,,,,,
PC1015,FOTE Calming White Hydrating Mist (100ml),599,520,312,11.56,,,,,,,,,,,,,,,,,,,,
PC1016,FOTE Blooms of Eden Hydrating Mist (100ml),599,520,312,11.56,,,,,,,,,,,,,,,,,,,,
